Datum;Uhrzeit;Physikalischer Nettoexport[MWh];Niederlande (Export)[MWh];Niederlande (Import)[MWh];Schweiz (Export)[MWh];Schweiz (Import)[MWh];Dänemark (Export)[MWh];Dänemark (Import)[MWh];Tschechien (Export)[MWh];Tschechien (Import)[MWh];Luxemburg (Export)[MWh];Luxemburg (Import)[MWh];Schweden (Export)[MWh];Schweden (Import)[MWh];Österreich (Export)[MWh];Österreich (Import)[MWh];Frankreich (Export)[MWh];Frankreich (Import)[MWh];Polen (Export)[MWh];Polen (Import)[MWh]
02.06.2017;00:00;-;2.213;-0;256;-0;0;-1.776;620;-320;-;-;0;-609;545;-0;826;-0;650;-0
02.06.2017;01:00;-;1.501;-0;116;-92;0;-1.549;528;-290;-;-;0;-608;560;-0;320;-0;640;-0
02.06.2017;02:00;-;1.269;-0;34;-172;0;-1.570;701;-214;-;-;0;-608;725;-0;0;-192;763;-0
02.06.2017;03:00;-;998;-0;0;-713;0;-1.559;541;-232;-;-;0;-608;669;-0;0;-1.094;723;-0
02.06.2017;04:00;-;780;-0;0;-735;0;-1.532;576;-176;-;-;0;-608;640;-0;0;-1.336;878;-0
02.06.2017;05:00;-;490;-0;0;-788;0;-1.253;641;-195;-;-;0;-608;566;-0;0;-1.471;770;-0
02.06.2017;06:00;-;0;-122;0;-1.366;83;-699;802;-161;-;-;0;-96;512;-0;0;-1.742;874;-0
02.06.2017;07:00;-;0;-19;0;-2.203;1.010;-6;441;-95;-;-;3;-0;254;-0;0;-1.600;786;-0
02.06.2017;08:00;-;1.065;-0;0;-2.042;1.439;-0;663;-131;-;-;3;-0;320;-0;0;-909;527;-0
02.06.2017;09:00;-;2.124;-0;0;-1.687;1.226;-0;1.022;-123;-;-;2;-0;585;-0;0;-59;731;-0
02.06.2017;10:00;-;2.412;-0;0;-1.196;1.737;-0;1.182;-124;-;-;2;-0;796;-0;343;-0;807;-0
02.06.2017;11:00;-;2.707;-0;0;-863;1.673;-0;1.182;-131;-;-;70;-0;863;-0;639;-0;808;-0
02.06.2017;12:00;-;2.944;-0;94;-598;1.641;-0;1.311;-142;-;-;146;-0;982;-0;1.171;-0;852;-0
02.06.2017;13:00;-;2.767;-0;112;-593;1.712;-0;1.316;-151;-;-;314;-0;1.043;-0;1.104;-0;868;-0
02.06.2017;14:00;-;2.948;-0;110;-632;1.405;-0;1.313;-160;-;-;102;-0;1.098;-0;834;-0;863;-0
02.06.2017;15:00;-;2.972;-0;128;-365;169;-60;1.466;-205;-;-;3;-0;1.110;-0;577;-0;894;-0
02.06.2017;16:00;-;2.507;-0;0;-562;10;-483;1.655;-233;-;-;0;-66;1.030;-0;306;-0;901;-0
02.06.2017;17:00;-;2.631;-0;0;-1.335;12;-540;1.395;-201;-;-;0;-101;844;-0;0;-181;823;-0
02.06.2017;18:00;-;2.137;-0;0;-1.379;0;-611;878;-156;-;-;0;-136;319;-0;0;-444;811;-0
02.06.2017;19:00;-;1.494;-0;0;-1.469;0;-739;478;-143;-;-;0;-106;10;-39;0;-955;633;-0
02.06.2017;20:00;-;1.421;-0;0;-1.115;0;-819;643;-164;-;-;0;-543;215;-0;0;-857;794;-0
02.06.2017;21:00;-;1.430;-0;0;-895;0;-948;814;-211;-;-;0;-608;255;-0;0;-582;912;-0
02.06.2017;22:00;-;2.501;-0;107;-348;0;-1.166;869;-344;-;-;0;-609;293;-0;619;-0;772;-0
02.06.2017;23:00;-;2.877;-0;283;-28;0;-1.420;1.039;-387;-;-;0;-609;586;-0;998;-0;951;-0
03.06.2017;00:00;-;2.548;-0;299;-0;0;-1.454;1.062;-314;-;-;0;-97;752;-0;486;-0;1.153;-0
03.06.2017;01:00;-;3.075;-0;281;-23;0;-1.639;815;-360;-;-;0;-460;548;-0;383;-0;1.149;-0
03.06.2017;02:00;-;2.935;-0;569;-0;0;-1.701;878;-383;-;-;0;-233;727;-0;93;-0;1.192;-0
03.06.2017;03:00;-;2.694;-0;538;-0;0;-1.657;865;-382;-;-;0;-205;757;-0;0;-472;1.188;-0
03.06.2017;04:00;-;3.121;-0;296;-0;0;-1.694;838;-377;-;-;0;-538;610;-0;0;-622;1.153;-0
03.06.2017;05:00;-;2.734;-0;0;-593;0;-1.531;806;-341;-;-;0;-86;527;-0;0;-993;1.146;-0
